                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.2378,                0.88805,                 1.2478,                0.83082,                0.79554,                0.87084,                0.55324,                 1.3025,                0.86182,                 1.2746,              0.0069067,              0.0069067,              0.0069067
                    118,                 1.2369,                0.88929,                 1.2519,                0.82528,                0.77632,                0.86332,                0.55596,                 1.3035,                0.86185,                  1.266,                0.00688,                0.00688,                0.00688
                    119,                 1.2457,                0.89074,                  1.249,                0.82057,                0.78804,                 0.8643,                0.54504,                 1.3341,                0.87355,                 1.3066,              0.0068533,              0.0068533,              0.0068533
                    120,                 1.2407,                0.88945,                 1.2507,                0.81551,                0.80624,                0.86995,                0.54201,                 1.3473,                0.86408,                 1.3098,              0.0068267,              0.0068267,              0.0068267
                    121,                 1.2415,                0.87682,                 1.2487,                0.84023,                0.79004,                0.87529,                 0.5578,                 1.2985,                0.84563,                 1.2838,                 0.0068,                 0.0068,                 0.0068
                    122,                 1.2333,                0.88308,                   1.24,                0.84767,                 0.7838,                0.86852,                0.54624,                 1.3021,                0.86131,                 1.2805,              0.0067733,              0.0067733,              0.0067733
                    123,                 1.2392,                0.87616,                 1.2452,                0.87361,                0.77405,                0.87511,                0.55491,                 1.2969,                0.84681,                 1.2836,              0.0067467,              0.0067467,              0.0067467
                    124,                 1.2456,                0.88493,                 1.2507,                0.83549,                0.79667,                0.87502,                0.55184,                 1.3232,                0.86013,                 1.2964,                0.00672,                0.00672,                0.00672
                    125,                 1.2365,                0.87962,                  1.246,                0.84777,                0.78579,                0.87211,                 0.5563,                 1.2949,                0.82887,                 1.2743,              0.0066933,              0.0066933,              0.0066933
                    126,                 1.2343,                0.87666,                 1.2438,                0.84714,                0.78848,                0.87601,                0.55594,                 1.3066,                0.84731,                 1.2861,              0.0066667,              0.0066667,              0.0066667
                    127,                 1.2366,                0.87763,                 1.2442,                0.83452,                0.79788,                0.87328,                0.55546,                 1.3058,                 0.8544,                 1.2714,                0.00664,                0.00664,                0.00664
                    128,                 1.2337,                0.86935,                 1.2405,                0.84357,                0.79389,                0.86466,                0.55283,                 1.3143,                0.84415,                 1.2732,              0.0066133,              0.0066133,              0.0066133
                    129,                 1.2236,                0.86997,                 1.2353,                0.81142,                0.82066,                0.87327,                0.55967,                 1.2968,                 0.8288,                  1.265,              0.0065867,              0.0065867,              0.0065867
                    130,                   1.23,                0.87171,                 1.2413,                0.84037,                0.79229,                0.88049,                0.56701,                 1.2745,                0.82462,                 1.2468,                0.00656,                0.00656,                0.00656
                    131,                 1.2356,                0.86613,                 1.2538,                0.83667,                 0.8074,                0.88402,                0.56386,                 1.2938,                0.82532,                 1.2542,              0.0065333,              0.0065333,              0.0065333
